reference;bucuresti;iasi
BD0001;10000;
A0968;0;
A0969;0;
A0970;0;
A0971;0;
A10;3;
A100;0;1
A1000;4;
A1001;7;
A1002;6;
A1003;122;1
A1004;47;
A1005;27;
A1006;0;
A1007;0;
A1008;0;
A1009;0;
A1010;0;
A1011;3;
A1012;0;
A1013;54;
A1014;0;
A1015;0;
A1016;1;
A1017;0;
A1018;0;
A1019;0;
A102;50;
A1020;0;
A1021;0;
A1022;1;1
A1023;13;
A1024;20;
A1025;0;1
A1026;11;
A1027;14;
A1028;14;
A1029;18;
A103;31;
A1030;18;
A1031;0;
A1032;7;
A1033;0;
A1034;0;
A1035;0;
A1036;0;
A1037;1;
A1038;1;
A1039;1;
A104;9;
A1040;0;
A1041;0;
A1042;2;
A1043;1;
A1044;2;
A1045;4;
A1046;2;
A1047;4;
A1048;5;
A1049;9;
A105;50;1
A1050;5;
A1051;5;
A1052;5;
A1053;5;
A1054;5;
A1055;5;
A1056;5;
A1057;5;
A1058;9;
A1059;3;
A106;6;
A1060;5;
A1061;4;
A1062;10;
A1063;8;
A1064;5;
A1065;5;
A1066;5;
A1068;4;
A107;55;
A1071;4;
A1072;4;
A1074;3;
A1075;0;
A1076;2;1
A1077;1;
A1078;5;
A1079;3;
A108;51;
A1080;6;
A1081;5;
A1083;4;
A1084;5;
A1085;3;
A1086;5;
A1087;5;
A1088;2;
A1089;2;
A109;34;1
A1090;5;
A1091;3;
A1092;4;
A1093;4;
A1094;5;
A1095;2;
A1096;5;
A1097;3;
A1098;3;
A1099;3;
A11;17;
A110;44;2
A1100;5;
A1101;3;
A1102;3;
A1103;1;
A1104;6;
A1105;4;
A1106;1;
A1107;4;
A1108;3;
A1109;1;
A111;9;1
A1110;5;
A1111;3;
A1112;3;
A1113;29;
A1114;33;
A1115;33;
A1116;32;
A1117;32;
A1118;30;
A1119;273;
A112;25;1
A1120;1;
A1121;0;
A1122;3;
A1123;6;1
A1124;0;
A1125;4;
A1126;4;
A1127;4;1
A1128;7;1
A1129;12;2
A113;2;1
A1130;5;
A1131;16;2
A1132;9;
A1133;0;
A1134;2;
A1135;28;
A1136;168;2
A1137;157;2
A1138;5;
A1139;11;
A114;4;1
A1140;11;
A1141;15;
A1142;0;
A1143;0;
A1144;77;
A1145;34;2
A1146;0;2
A1147;0;
A1148;20;
A1149;16;
A115;6;2
A1150;7;
A1151;28;
A1152;0;
A1153;13;
A1154;5;
A1155;13;
A1156;9;1
A1157;9;
A1158;9;
A1159;1;
A116;70;2
A1160;1;
A1161;16;1
A1162;38;1
A1163;2;
A1164;1;
A1165;9;
A1166;37;
A1167;10;
A1168;7;1
A1169;7;
A117;1;
A1170;0;
A1171;42;
A1172;42;1
A1173;39;
A1174;36;
A1175;5;
A1176;156;
A1177;0;
A1178;0;
A1179;0;
A118;26;
A1180;0;
A1181;0;
A1182;1;
A1183;0;
A1184;0;
A1185;0;
A1186;0;
A1187;0;
A1188;0;
A1189;0;
A119;1690;
A1190;0;
A1191;0;
A1192;0;
A1193;275;5
A1194;9;
A1195;9;
A1196;9;
A1197;10;
A1198;10;
A1199;8;
A12;10;
A120;4;
A1200;9;
A1201;10;
A1202;10;
A1203;2;
A1204;2;
A1205;2;
A1206;22;
A1207;0;
A1208;12;
A1209;0;
A121;1662;1
A1210;1;
A1211;4;
A1212;35;
A1213;0;
A1214;0;
A1215;1;
A1216;3;
A1217;0;
A1218;0;
A1219;0;
A122;420;3
A1220;14;
A1221;7;
A1222;16;
A1223;13;
A1224;16;
A1225;13;
A1226;0;
A1227;1;
A1228;0;
A1229;0;
A123;205;
A1230;0;
A1231;0;
A1232;3;
A1233;0;
A1234;6;
A1235;28;
A1236;0;
A1237;5;
A1238;8;
A1239;5;
A124;685;5
A1240;10;
A1241;9;
A1242;10;
A1243;7;
A1244;6;
A1245;7;
A1246;9;
A1247;10;
A1248;5;
A1249;7;
A125;421;1
A1250;0;
A1251;0;
A1252;0;
A1253;0;
A1254;87;
A1255;0;
A1256;0;
A1257;4;
A1258;6;
A1259;0;
A126;10;
A1260;5;2
A1261;17;
A1262;8;2
A1263;7;
A1264;2;
A1265;0;
A1266;2;
A1267;15;1
A1268;35;2
A1269;10;
A127;0;
A1270;0;
A1271;0;
A1272;16;1
A1273;21;1
A1274;29;1
A1275;1;
A1276;0;
A1277;9;1
A1278;18;1
A1279;20;2
A128;121;
A1280;1;
A1281;2;
A1282;0;1
A1283;0;1
A1284;16;
A1285;17;
A1286;14;
A1287;9;
A1288;24;
A1289;31;
A129;6;
A1290;49;
A1291;29;
A1292;12;
A1293;26;
A1294;34;
A1295;26;
A1296;25;
A1297;10;
A1298;23;1
A1299;33;
A13;15;
A130;4;
A1300;30;
A1301;30;
A1302;2;
A1303;6;
A1304;8;
A1305;7;
A1306;13;
A1307;13;
A1308;1;
A1309;0;
A131;171;
A1310;0;
A1311;0;1
A1312;10;
A1313;0;1
A1314;0;1
A1315;10;
A1316;21;1
A1317;12;
A1318;16;
A1319;2;1
A132;139;1
A1320;6;1
A1321;0;
A1322;7;
A1323;13;
A1324;14;
A1325;3;
A1326;16;
A1327;23;
A1328;0;
A1329;13;
A133;30;
A1330;5;
A1331;0;
A1332;1;
A1333;38;2
A1334;0;
A1335;0;
A1336;0;
A1337;1;
A1338;0;
A1339;0;
A134;29;1
A1340;0;
A1341;0;
A1342;0;
A1343;1;
A1344;0;
A1345;0;
A1346;0;
A1347;0;
A1348;0;
A1349;0;
A135;17;
A1350;0;
A1351;0;
A1352;0;
A1353;0;
A1354;0;
A1355;0;
A1356;0;
A1357;0;
A1358;0;
A1359;0;
A1360;0;
A1361;0;
A1362;0;
A1363;0;
A1364;0;
A1365;0;
A1366;0;
A1367;0;
A1368;0;
A1369;0;
A137;42;1
A1370;4;
A1371;12;
A1372;23;
A1373;15;
A1374;2;
A1375;0;
A1376;0;
A1377;0;
A1378;0;
A1379;0;
A138;32;
A1380;0;
A1381;0;
A1382;0;
A1383;0;
A1384;0;
A1385;0;
A1386;0;
A1387;12;
